Hex,Emoji,English Name,Myanmar Name,Keywords
1F926-1F3FE,🤦🏾,person facepalming: medium-dark skin tone,မျက်နှာလက်ဝါးဖြင့်အုပ်ထားသောရုပ် − အသားညိုရောင်,"စိတ်အနှောင့်အယှက်ဖြစ်နေသော, မယုံကြည်မှု, မျက်နှာလက်ဝါးဖြင့်အုပ်ထားသောရုပ်, ရုပ်, လက်ဝါး, အသားညိုရောင်"
1F926-1F3FF,🤦🏿,person facepalming: dark skin tone,မျက်နှာလက်ဝါးဖြင့်အုပ်ထားသောရုပ် − အသားမည်းရောင်,"စိတ်အနှောင့်အယှက်ဖြစ်နေသော, မယုံကြည်မှု, မျက်နှာလက်ဝါးဖြင့်အုပ်ထားသောရုပ်, ရုပ်, လက်ဝါး, အသားမည်းရောင်"
1F926-200D-2642-FE0F,🤦‍♂️,man facepalming,,
1F926-1F3FB-200D-2642-FE0F,🤦🏻‍♂️,man facepalming: light skin tone,,
1F926-1F3FC-200D-2642-FE0F,🤦🏼‍♂️,man facepalming: medium-light skin tone,,
1F926-1F3FD-200D-2642-FE0F,🤦🏽‍♂️,man facepalming: medium skin tone,,
1F926-1F3FE-200D-2642-FE0F,🤦🏾‍♂️,man facepalming: medium-dark skin tone,,
1F926-1F3FF-200D-2642-FE0F,🤦🏿‍♂️,man facepalming: dark skin tone,,
1F926-200D-2640-FE0F,🤦‍♀️,woman facepalming,,
1F926-1F3FB-200D-2640-FE0F,🤦🏻‍♀️,woman facepalming: light skin tone,,
1F926-1F3FC-200D-2640-FE0F,🤦🏼‍♀️,woman facepalming: medium-light skin tone,,
1F926-1F3FD-200D-2640-FE0F,🤦🏽‍♀️,woman facepalming: medium skin tone,,
1F926-1F3FE-200D-2640-FE0F,🤦🏾‍♀️,woman facepalming: medium-dark skin tone,,
1F926-1F3FF-200D-2640-FE0F,🤦🏿‍♀️,woman facepalming: dark skin tone,,
1F937,🤷,person shrugging,ပုခုံးတွန့်သူ,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, မသိဘူး, ဘာဖြစ်လဲ"
1F937-1F3FB,🤷🏻,person shrugging: light skin tone,ပခုံးတွန့်သည် − အသားဖြူရောင်,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, အသားဖြူရောင်"
1F937-1F3FC,🤷🏼,person shrugging: medium-light skin tone,ပခုံးတွန့်သည် − အသားနုရောင်,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, အသားနုရောင်"
1F937-1F3FD,🤷🏽,person shrugging: medium skin tone,ပခုံးတွန့်သည် − အသားလတ်ရောင်,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, အသားလတ်ရောင်"
1F937-1F3FE,🤷🏾,person shrugging: medium-dark skin tone,ပခုံးတွန့်သည် − အသားညိုရောင်,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, အသားညိုရောင်"
1F937-1F3FF,🤷🏿,person shrugging: dark skin tone,ပခုံးတွန့်သည် − အသားမည်းရောင်,"ဂရုမစိုက်, ပခုံးတွန့်သည်, မယုံသင်္ကာ, မသိနားမလည်, အသားမည်းရောင်"
1F937-200D-2642-FE0F,🤷‍♂️,man shrugging,,
1F937-1F3FB-200D-2642-FE0F,🤷🏻‍♂️,man shrugging: light skin tone,,
1F937-1F3FC-200D-2642-FE0F,🤷🏼‍♂️,man shrugging: medium-light skin tone,,
1F937-1F3FD-200D-2642-FE0F,🤷🏽‍♂️,man shrugging: medium skin tone,,
1F937-1F3FE-200D-2642-FE0F,🤷🏾‍♂️,man shrugging: medium-dark skin tone,,
1F937-1F3FF-200D-2642-FE0F,🤷🏿‍♂️,man shrugging: dark skin tone,,
1F937-200D-2640-FE0F,🤷‍♀️,woman shrugging,,
1F937-1F3FB-200D-2640-FE0F,🤷🏻‍♀️,woman shrugging: light skin tone,,
1F937-1F3FC-200D-2640-FE0F,🤷🏼‍♀️,woman shrugging: medium-light skin tone,,
1F937-1F3FD-200D-2640-FE0F,🤷🏽‍♀️,woman shrugging: medium skin tone,,
1F937-1F3FE-200D-2640-FE0F,🤷🏾‍♀️,woman shrugging: medium-dark skin tone,,
1F937-1F3FF-200D-2640-FE0F,🤷🏿‍♀️,woman shrugging: dark skin tone,,
1F9D1-200D-2695-FE0F,🧑‍⚕️,health worker,ကျန်းမာရေးဝန်ထမ်း,"ဆရာဝန်, နာ့စ်"
1F9D1-1F3FB-200D-2695-FE0F,🧑🏻‍⚕️,health worker: light skin tone,,
1F9D1-1F3FC-200D-2695-FE0F,🧑🏼‍⚕️,health worker: medium-light skin tone,,
1F9D1-1F3FD-200D-2695-FE0F,🧑🏽‍⚕️,health worker: medium skin tone,,
1F9D1-1F3FE-200D-2695-FE0F,🧑🏾‍⚕️,health worker: medium-dark skin tone,,
1F9D1-1F3FF-200D-2695-FE0F,🧑🏿‍⚕️,health worker: dark skin tone,,
1F468-200D-2695-FE0F,👨‍⚕️,man health worker,,
1F468-1F3FB-200D-2695-FE0F,👨🏻‍⚕️,man health worker: light skin tone,,
1F468-1F3FC-200D-2695-FE0F,👨🏼‍⚕️,man health worker: medium-light skin tone,,
1F468-1F3FD-200D-2695-FE0F,👨🏽‍⚕️,man health worker: medium skin tone,,
1F468-1F3FE-200D-2695-FE0F,👨🏾‍⚕️,man health worker: medium-dark skin tone,,
1F468-1F3FF-200D-2695-FE0F,👨🏿‍⚕️,man health worker: dark skin tone,,
1F469-200D-2695-FE0F,👩‍⚕️,woman health worker,,
1F469-1F3FB-200D-2695-FE0F,👩🏻‍⚕️,woman health worker: light skin tone,,
1F469-1F3FC-200D-2695-FE0F,👩🏼‍⚕️,woman health worker: medium-light skin tone,,
1F469-1F3FD-200D-2695-FE0F,👩🏽‍⚕️,woman health worker: medium skin tone,,
1F469-1F3FE-200D-2695-FE0F,👩🏾‍⚕️,woman health worker: medium-dark skin tone,,
1F469-1F3FF-200D-2695-FE0F,👩🏿‍⚕️,woman health worker: dark skin tone,,
1F9D1-200D-1F393,🧑‍🎓,student,ကျောင်းသား,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, ပညာရေး"
1F9D1-1F3FB-200D-1F393,🧑🏻‍🎓,student: light skin tone,ကျောင်းသူကျောင်းသား − အသားဖြူရောင်,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, အသားဖြူရောင်"
1F9D1-1F3FC-200D-1F393,🧑🏼‍🎓,student: medium-light skin tone,ကျောင်းသူကျောင်းသား − အသားနုရောင်,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, အသားနုရောင်"
1F9D1-1F3FD-200D-1F393,🧑🏽‍🎓,student: medium skin tone,ကျောင်းသူကျောင်းသား − အသားလတ်ရောင်,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, အသားလတ်ရောင်"
1F9D1-1F3FE-200D-1F393,🧑🏾‍🎓,student: medium-dark skin tone,ကျောင်းသူကျောင်းသား − အသားညိုရောင်,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, အသားညိုရောင်"
1F9D1-1F3FF-200D-1F393,🧑🏿‍🎓,student: dark skin tone,ကျောင်းသူကျောင်းသား − အသားမည်းရောင်,"ကျောင်းတက်နေသူ, ကျောင်းသူကျောင်းသား, ဘွဲ့ရ, အသားမည်းရောင်"
1F468-200D-1F393,👨‍🎓,man student,ကျောင်းသား,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား"
1F468-1F3FB-200D-1F393,👨🏻‍🎓,man student: light skin tone,ကျောင်းသား − အသားဖြူရောင်,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား, အသားဖြူရောင်"
1F468-1F3FC-200D-1F393,👨🏼‍🎓,man student: medium-light skin tone,ကျောင်းသား − အသားနုရောင်,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား, အသားနုရောင်"
1F468-1F3FD-200D-1F393,👨🏽‍🎓,man student: medium skin tone,ကျောင်းသား − အသားလတ်ရောင်,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား, အသားလတ်ရောင်"
1F468-1F3FE-200D-1F393,👨🏾‍🎓,man student: medium-dark skin tone,ကျောင်းသား − အသားညိုရောင်,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား, အသားညိုရောင်"
1F468-1F3FF-200D-1F393,👨🏿‍🎓,man student: dark skin tone,ကျောင်းသား − အသားမည်းရောင်,"ကျောင်းသား, ဘွဲ့ရ, အမျိုးသား, အသားမည်းရောင်"
1F469-200D-1F393,👩‍🎓,woman student,ကျောင်းသူ,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး"
1F469-1F3FB-200D-1F393,👩🏻‍🎓,woman student: light skin tone,ကျောင်းသူ − အသားဖြူရောင်,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး, အသားဖြူရောင်"
1F469-1F3FC-200D-1F393,👩🏼‍🎓,woman student: medium-light skin tone,ကျောင်းသူ − အသားနုရောင်,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး, အသားနုရောင်"
1F469-1F3FD-200D-1F393,👩🏽‍🎓,woman student: medium skin tone,ကျောင်းသူ − အသားလတ်ရောင်,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး, အသားလတ်ရောင်"
1F469-1F3FE-200D-1F393,👩🏾‍🎓,woman student: medium-dark skin tone,ကျောင်းသူ − အသားညိုရောင်,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး, အသားညိုရောင်"
1F469-1F3FF-200D-1F393,👩🏿‍🎓,woman student: dark skin tone,ကျောင်းသူ − အသားမည်းရောင်,"ကျောင်းသူ, ဘွဲ့ရ, အမျိုးသမီး, အသားမည်းရောင်"
1F9D1-200D-1F3EB,🧑‍🏫,teacher,ဆရာ,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, သင်ကြား, ပညာရေး"
1F9D1-1F3FB-200D-1F3EB,🧑🏻‍🏫,teacher: light skin tone,ဆရာဆရာမ − အသားဖြူရောင်,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, အသားဖြူရောင်"
1F9D1-1F3FC-200D-1F3EB,🧑🏼‍🏫,teacher: medium-light skin tone,ဆရာဆရာမ − အသားနုရောင်,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, အသားနုရောင်"
1F9D1-1F3FD-200D-1F3EB,🧑🏽‍🏫,teacher: medium skin tone,ဆရာဆရာမ − အသားလတ်ရောင်,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, အသားလတ်ရောင်"
1F9D1-1F3FE-200D-1F3EB,🧑🏾‍🏫,teacher: medium-dark skin tone,ဆရာဆရာမ − အသားညိုရောင်,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, အသားညိုရောင်"
1F9D1-1F3FF-200D-1F3EB,🧑🏿‍🏫,teacher: dark skin tone,ဆရာဆရာမ − အသားမည်းရောင်,"ဆရာ, ဆရာဆရာမ, နည်းပြ, ပါမောက္ခ, အသားမည်းရောင်"
1F468-200D-1F3EB,👨‍🏫,man teacher,ဆရာ,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား"
1F468-1F3FB-200D-1F3EB,👨🏻‍🏫,man teacher: light skin tone,ဆရာ − အသားဖြူရောင်,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား, အသားဖြူရောင်"
1F468-1F3FC-200D-1F3EB,👨🏼‍🏫,man teacher: medium-light skin tone,ဆရာ − အသားနုရောင်,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား, အသားနုရောင်"
1F468-1F3FD-200D-1F3EB,👨🏽‍🏫,man teacher: medium skin tone,ဆရာ − အသားလတ်ရောင်,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား, အသားလတ်ရောင်"
1F468-1F3FE-200D-1F3EB,👨🏾‍🏫,man teacher: medium-dark skin tone,ဆရာ − အသားညိုရောင်,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား, အသားညိုရောင်"
1F468-1F3FF-200D-1F3EB,👨🏿‍🏫,man teacher: dark skin tone,ဆရာ − အသားမည်းရောင်,"ဆရာ, နည်းပြ, ပါမောက္ခ, အမျိုးသား, အသားမည်းရောင်"
1F469-200D-1F3EB,👩‍🏫,woman teacher,ဆရာမ,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး"
1F469-1F3FB-200D-1F3EB,👩🏻‍🏫,woman teacher: light skin tone,ဆရာမ − အသားဖြူရောင်,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး, အသားဖြူရောင်"
1F469-1F3FC-200D-1F3EB,👩🏼‍🏫,woman teacher: medium-light skin tone,ဆရာမ − အသားနုရောင်,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး, အသားနုရောင်"
1F469-1F3FD-200D-1F3EB,👩🏽‍🏫,woman teacher: medium skin tone,ဆရာမ − အသားလတ်ရောင်,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး, အသားလတ်ရောင်"
1F469-1F3FE-200D-1F3EB,👩🏾‍🏫,woman teacher: medium-dark skin tone,ဆရာမ − အသားညိုရောင်,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး, အသားညိုရောင်"
1F469-1F3FF-200D-1F3EB,👩🏿‍🏫,woman teacher: dark skin tone,ဆရာမ − အသားမည်းရောင်,"ဆရာမ, နည်းပြ, ပါမောက္ခ, အမျိုးသမီး, အသားမည်းရောင်"
1F9D1-200D-2696-FE0F,🧑‍⚖️,judge,တရားသူကြီး,"တရားဥပဒေ, တရားရုံး"
1F9D1-1F3FB-200D-2696-FE0F,🧑🏻‍⚖️,judge: light skin tone,,
1F9D1-1F3FC-200D-2696-FE0F,🧑🏼‍⚖️,judge: medium-light skin tone,,
1F9D1-1F3FD-200D-2696-FE0F,🧑🏽‍⚖️,judge: medium skin tone,,
1F9D1-1F3FE-200D-2696-FE0F,🧑🏾‍⚖️,judge: medium-dark skin tone,,
1F9D1-1F3FF-200D-2696-FE0F,🧑🏿‍⚖️,judge: dark skin tone,,
1F468-200D-2696-FE0F,👨‍⚖️,man judge,,
1F468-1F3FB-200D-2696-FE0F,👨🏻‍⚖️,man judge: light skin tone,,
1F468-1F3FC-200D-2696-FE0F,👨🏼‍⚖️,man judge: medium-light skin tone,,
1F468-1F3FD-200D-2696-FE0F,👨🏽‍⚖️,man judge: medium skin tone,,
1F468-1F3FE-200D-2696-FE0F,👨🏾‍⚖️,man judge: medium-dark skin tone,,
1F468-1F3FF-200D-2696-FE0F,👨🏿‍⚖️,man judge: dark skin tone,,
1F469-200D-2696-FE0F,👩‍⚖️,woman judge,,
1F469-1F3FB-200D-2696-FE0F,👩🏻‍⚖️,woman judge: light skin tone,,
1F469-1F3FC-200D-2696-FE0F,👩🏼‍⚖️,woman judge: medium-light skin tone,,
1F469-1F3FD-200D-2696-FE0F,👩🏽‍⚖️,woman judge: medium skin tone,,
1F469-1F3FE-200D-2696-FE0F,👩🏾‍⚖️,woman judge: medium-dark skin tone,,
1F469-1F3FF-200D-2696-FE0F,👩🏿‍⚖️,woman judge: dark skin tone,,
1F9D1-200D-1F33E,🧑‍🌾,farmer,တောင်သူ,"တောင်သူလယ်သမား, လယ်လုပ်သူ, ဥယျာဉ်မှူး, လယ်သမား, စိုက်ပျိုး"
1F9D1-1F3FB-200D-1F33E,🧑🏻‍🌾,farmer: light skin tone,လယ်လုပ်သူ − အသားဖြူရောင်,"တောင်သူလယ်သမား, လယ်လုပ်သူ, အသားဖြူရောင်, ဥယျာဉ်မှူး"
1F9D1-1F3FC-200D-1F33E,🧑🏼‍🌾,farmer: medium-light skin tone,လယ်လုပ်သူ − အသားနုရောင်,"တောင်သူလယ်သမား, လယ်လုပ်သူ, အသားနုရောင်, ဥယျာဉ်မှူး"
1F9D1-1F3FD-200D-1F33E,🧑🏽‍🌾,farmer: medium skin tone,လယ်လုပ်သူ − အသားလတ်ရောင်,"တောင်သူလယ်သမား, လယ်လုပ်သူ, အသားလတ်ရောင်, ဥယျာဉ်မှူး"
1F9D1-1F3FE-200D-1F33E,🧑🏾‍🌾,farmer: medium-dark skin tone,လယ်လုပ်သူ − အသားညိုရောင်,"တောင်သူလယ်သမား, လယ်လုပ်သူ, အသားညိုရောင်, ဥယျာဉ်မှူး"
1F9D1-1F3FF-200D-1F33E,🧑🏿‍🌾,farmer: dark skin tone,လယ်လုပ်သူ − အသားမည်းရောင်,"တောင်သူလယ်သမား, လယ်လုပ်သူ, အသားမည်းရောင်, ဥယျာဉ်မှူး"
1F468-200D-1F33E,👨‍🌾,man farmer,လယ်သမား,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား"
1F468-1F3FB-200D-1F33E,👨🏻‍🌾,man farmer: light skin tone,လယ်သမား − အသားဖြူရောင်,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား, အသားဖြူရောင်"
1F468-1F3FC-200D-1F33E,👨🏼‍🌾,man farmer: medium-light skin tone,လယ်သမား − အသားနုရောင်,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား, အသားနုရောင်"
1F468-1F3FD-200D-1F33E,👨🏽‍🌾,man farmer: medium skin tone,လယ်သမား − အသားလတ်ရောင်,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား, အသားလတ်ရောင်"
1F468-1F3FE-200D-1F33E,👨🏾‍🌾,man farmer: medium-dark skin tone,လယ်သမား − အသားညိုရောင်,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား, အသားညိုရောင်"
1F468-1F3FF-200D-1F33E,👨🏿‍🌾,man farmer: dark skin tone,လယ်သမား − အသားမည်းရောင်,"ကောက်စိုက်သူ, ပန်းပျိုးသူ, လယ်သမား, အမျိုးသား, အသားမည်းရောင်"
1F469-200D-1F33E,👩‍🌾,woman farmer,လယ်သူမ,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး"
1F469-1F3FB-200D-1F33E,👩🏻‍🌾,woman farmer: light skin tone,လယ်သူမ − အသားဖြူရောင်,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး, အသားဖြူရောင်"
1F469-1F3FC-200D-1F33E,👩🏼‍🌾,woman farmer: medium-light skin tone,လယ်သူမ − အသားနုရောင်,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး, အသားနုရောင်"
1F469-1F3FD-200D-1F33E,👩🏽‍🌾,woman farmer: medium skin tone,လယ်သူမ − အသားလတ်ရောင်,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး, အသားလတ်ရောင်"
1F469-1F3FE-200D-1F33E,👩🏾‍🌾,woman farmer: medium-dark skin tone,လယ်သူမ − အသားညိုရောင်,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး, အသားညိုရောင်"
1F469-1F3FF-200D-1F33E,👩🏿‍🌾,woman farmer: dark skin tone,လယ်သူမ − အသားမည်းရောင်,"ကောက်စိုက်သမ, ပန်းပျိုးသူ, လယ်သူမ, အမျိုးသမီး, အသားမည်းရောင်"
1F9D1-200D-1F373,🧑‍🍳,cook,စားဖိုမှူး,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, ချက်ပြုတ်, အစားအစာ"
1F9D1-1F3FB-200D-1F373,🧑🏻‍🍳,cook: light skin tone,အချက်အပြုတ် − အသားဖြူရောင်,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, အသားဖြူရောင်"
1F9D1-1F3FC-200D-1F373,🧑🏼‍🍳,cook: medium-light skin tone,အချက်အပြုတ် − အသားနုရောင်,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, အသားနုရောင်"
1F9D1-1F3FD-200D-1F373,🧑🏽‍🍳,cook: medium skin tone,အချက်အပြုတ် − အသားလတ်ရောင်,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, အသားလတ်ရောင်"
1F9D1-1F3FE-200D-1F373,🧑🏾‍🍳,cook: medium-dark skin tone,အချက်အပြုတ် − အသားညိုရောင်,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, အသားညိုရောင်"
1F9D1-1F3FF-200D-1F373,🧑🏿‍🍳,cook: dark skin tone,အချက်အပြုတ် − အသားမည်းရောင်,"ချက်ပြုတ်သူ, စာဖိုမှူး, အချက်အပြုတ်, အသားမည်းရောင်"
1F468-200D-1F373,👨‍🍳,man cook,အမျိုးသား စားဖိုမှူး,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား"
1F468-1F3FB-200D-1F373,👨🏻‍🍳,man cook: light skin tone,အမျိုးသား စားဖိုမှူး − အသားဖြူရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား, အသားဖြူရောင်"
1F468-1F3FC-200D-1F373,👨🏼‍🍳,man cook: medium-light skin tone,အမျိုးသား စားဖိုမှူး − အသားနုရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား, အသားနုရောင်"
1F468-1F3FD-200D-1F373,👨🏽‍🍳,man cook: medium skin tone,အမျိုးသား စားဖိုမှူး − အသားလတ်ရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား, အသားလတ်ရောင်"
1F468-1F3FE-200D-1F373,👨🏾‍🍳,man cook: medium-dark skin tone,အမျိုးသား စားဖိုမှူး − အသားညိုရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား, အသားညိုရောင်"
1F468-1F3FF-200D-1F373,👨🏿‍🍳,man cook: dark skin tone,အမျိုးသား စားဖိုမှူး − အသားမည်းရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသား, အသားမည်းရောင်"
1F469-200D-1F373,👩‍🍳,woman cook,အမျိုးသမီး စားဖိုမှူး,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး"
1F469-1F3FB-200D-1F373,👩🏻‍🍳,woman cook: light skin tone,အမျိုးသမီး စားဖိုမှူး − အသားဖြူရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး, အသားဖြူရောင်"
1F469-1F3FC-200D-1F373,👩🏼‍🍳,woman cook: medium-light skin tone,အမျိုးသမီး စားဖိုမှူး − အသားနုရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး, အသားနုရောင်"
1F469-1F3FD-200D-1F373,👩🏽‍🍳,woman cook: medium skin tone,အမျိုးသမီး စားဖိုမှူး − အသားလတ်ရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး, အသားလတ်ရောင်"
1F469-1F3FE-200D-1F373,👩🏾‍🍳,woman cook: medium-dark skin tone,အမျိုးသမီး စားဖိုမှူး − အသားညိုရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး, အသားညိုရောင်"
1F469-1F3FF-200D-1F373,👩🏿‍🍳,woman cook: dark skin tone,အမျိုးသမီး စားဖိုမှူး − အသားမည်းရောင်,"စားဖိုမှူး, အချက်အပြုတ်, အမျိုးသမီး, အသားမည်းရောင်"
1F9D1-200D-1F527,🧑‍🔧,mechanic,စက်ပြင်ဆရာ,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, ပြင်ဆင်, နည်းပညာ"
1F9D1-1F3FB-200D-1F527,🧑🏻‍🔧,mechanic: light skin tone,စက်ပြင်သူ − အသားဖြူရောင်,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, အသားဖြူရောင်"
1F9D1-1F3FC-200D-1F527,🧑🏼‍🔧,mechanic: medium-light skin tone,စက်ပြင်သူ − အသားနုရောင်,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, အသားနုရောင်"
1F9D1-1F3FD-200D-1F527,🧑🏽‍🔧,mechanic: medium skin tone,စက်ပြင်သူ − အသားလတ်ရောင်,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, အသားလတ်ရောင်"
1F9D1-1F3FE-200D-1F527,🧑🏾‍🔧,mechanic: medium-dark skin tone,စက်ပြင်သူ − အသားညိုရောင်,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, အသားညိုရောင်"
1F9D1-1F3FF-200D-1F527,🧑🏿‍🔧,mechanic: dark skin tone,စက်ပြင်သူ − အသားမည်းရောင်,"စက်ပြင်သူ, ပိုက်ပြင်သူ, မီးပြင်သူ, အရောင်းအဝယ်သမား, အသားမည်းရောင်"
1F468-200D-1F527,👨‍🔧,man mechanic,အမျိုးသား စက်ပြင်သူ,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား"
1F468-1F3FB-200D-1F527,👨🏻‍🔧,man mechanic: light skin tone,အမျိုးသား စက်ပြင်သူ − အသားဖြူရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား, အသားဖြူရောင်"
1F468-1F3FC-200D-1F527,👨🏼‍🔧,man mechanic: medium-light skin tone,အမျိုးသား စက်ပြင်သူ − အသားနုရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား, အသားနုရောင်"
1F468-1F3FD-200D-1F527,👨🏽‍🔧,man mechanic: medium skin tone,အမျိုးသား စက်ပြင်သူ − အသားလတ်ရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား, အသားလတ်ရောင်"
1F468-1F3FE-200D-1F527,👨🏾‍🔧,man mechanic: medium-dark skin tone,အမျိုးသား စက်ပြင်သူ − အသားညိုရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား, အသားညိုရောင်"
1F468-1F3FF-200D-1F527,👨🏿‍🔧,man mechanic: dark skin tone,အမျိုးသား စက်ပြင်သူ − အသားမည်းရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသား, အရောင်းအဝယ်သမား, အသားမည်းရောင်"
1F469-200D-1F527,👩‍🔧,woman mechanic,အမျိုးသမီး စက်ပြင်သူ,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသမီး စက်ပြင်သူ, အမျိုးသား, အရောင်းအဝယ်သမား"
1F469-1F3FB-200D-1F527,👩🏻‍🔧,woman mechanic: light skin tone,အမျိုးသမီး စက်ပြင်သူ − အသားဖြူရောင်,"စက်ပြင်သူ, ပိုက်ဆက်သူ, မီးသမား, အမျိုးသမီး စက်ပြင်သူ, အမျိုးသား, အရောင်းအဝယ်သမား, အသားဖြူရောင်"
